level,direction,source,sink,level,trail_id,source,sink,power,latitude1,longitude1,latitude2,longitude2
OTU2,Unidirectional,TMCO142_S2_NGN,VALD321,OTU2,94595,OADM-TMCO12-TMCO142 S2 NGN-shelf0-7-11LOA-1(OUT)-OCh:1-OTU2,OAMD-VALD3-VALD321-shelf0-8-11LOA-1(IN)-OCh:1-OTU2,-12,-38.739105,-72.591079,-39.815547,-73.2404
OTU2,Bidirectional,ALHO_213,IQQE2_412,OTU2,31952,OADM_ALHO-ALHO_213-shelf0-8-12ND2-71(ODU2LP1),OADM_IQQE2-IQQE2 412-shelf0-11-12ND2-71(ODU2LP1),-12,-20.268396,-70.095514,-20.213216,-70.149066
OTU2,Bidirectional,ALHO_213,IQQE2_412,OTU2,31953,OADM_ALHO-ALHO_213-shelf0-8-12ND2-72(ODU2LP2),OADM_IQQE2-IQQE2 412-shelf0-11-12ND2-72(ODU2LP2),-12,-20.268396,-70.095514,-20.213216,-70.149066
OTU2,Bidirectional,ALHO_213,IQQE2_412,OTU2,30961,OADM_ALHO-ALHO_213-shelf0-7-12ND2-71(ODU2LP1),OADM_IQQE2-IQQE2 412-shelf0-12-12ND2-71(ODU2LP1),-12,-20.268396,-70.095514,-20.213216,-70.149066
OTU2,Bidirectional,ALHO_213,IQQE2_412,OTU2,30962,OADM_ALHO-ALHO_213-shelf0-7-12ND2-72(ODU2LP2),OADM_IQQE2-IQQE2 412-shelf0-12-12ND2-72(ODU2LP2),-12,-20.268396,-70.095514,-20.213216,-70.149066
OTU2,Bidirectional,IQQE2_421,ALHO_214,OTU2,44720,OADM_IQQE2-IQQE2 421-shelf0-13-12LSX-1(IN/OUT a Alto Hospicio),OADM_ALHO-ALHO_214-shelf0-8-12LSX-1(IN/OUT a Iquique),-12,-20.213216,-70.149066,-20.268396,-70.095514
OTU2,Bidirectional,PRINTX2_212,CHAC212,OTU2,11605,ROADM_PRIN-PRINTX2 212-shelf0-1-52ND2-71(ODU2LP1),ROADM_CHAC-CHAC212-shelf0-1-52ND2-71(ODU2LP1),-12,-33.44379,-70.65775,-33.04576,-71.61748
OTU2,Bidirectional,PRINTX2_212,CHAC212,OTU2,11606,ROADM_PRIN-PRINTX2 212-shelf0-1-52ND2-72(ODU2LP2),ROADM_CHAC-CHAC212-shelf0-1-52ND2-72(ODU2LP2),-12,-33.44379,-70.65775,-33.04576,-71.61748
OTU2,Bidirectional,PRINTX2_212,CHAC212,OTU2,11607,ROADM_PRIN-PRINTX2 212-shelf0-12-52ND2-71(ODU2LP1),ROADM_CHAC-CHAC212-shelf0-12-52ND2-71(ODU2LP1),-12,-33.44379,-70.65775,-33.04576,-71.61748
OTU2,Bidirectional,PRINTX2_212,CHAC212,OTU2,16975,ROADM_PRIN-PRINTX2 212-shelf0-12-52ND2-72(ODU2LP2),ROADM_CHAC-CHAC212-shelf0-12-52ND2-72(ODU2LP2),-12,-33.44379,-70.65775,-33.04576,-71.61748
OTU2,Bidirectional,PRINTX2_212,CHAC212,OTU2,9215,ROADM_PRIN-PRINTX2 212-shelf0-15-52ND2-71(ODU2LP1),ROADM_CHAC-CHAC212-shelf0-15-52ND2-71(ODU2LP1),-12,-33.44379,-70.65775,-33.04576,-71.61748
OTU2,Bidirectional,PRINTX2_212,CHAC212,OTU2,9216,ROADM_PRIN-PRINTX2 212-shelf0-15-52ND2-72(ODU2LP2),ROADM_CHAC-CHAC212-shelf0-15-52ND2-72(ODU2LP2),-12,-33.44379,-70.65775,-33.04576,-71.61748
OTU2,Bidirectional,PRINTX2_212,CHAC212,OTU2,9217,ROADM_PRIN-PRINTX2 212-shelf0-16-52ND2-71(ODU2LP1),ROADM_CHAC-CHAC212-shelf0-16-52ND2-71(ODU2LP1),-12,-33.44379,-70.65775,-33.04576,-71.61748
OTU2,Bidirectional,PRINTX2_212,CHAC212,OTU2,9218,ROADM_PRIN-PRINTX2 212-shelf0-16-52ND2-72(ODU2LP2),ROADM_CHAC-CHAC212-shelf0-16-52ND2-72(ODU2LP2),-12,-33.44379,-70.65775,-33.04576,-71.61748
